Price,Company,TypeName,Ghz,Cpu-brand,Gpu-brand,Ram,OS,Weight,Touchscreen,Ips,Retina,PPI,Memory,HDD,SSD,Hybrid,Flash_Storage,PriceCategory
18541.44,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.65,0,0,0,111.1413368676404,32,0,0,0,1,Entry
18541.44,Acer,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
18594.72,Acer,2 in 1 Convertible,2.0,Other Intel Processor,Intel,4,Windows,1.25,1,1,0,189.90579052433608,32,0,0,0,1,Entry
18594.72,Lenovo,Notebook,2.2,AMD Processor,AMD,4,Windows,2.2,0,0,0,100.45466986113652,128,0,1,0,0,Entry
18594.72,HP,Notebook,2.0,Intel Core i3,Intel,4,Others,2.1,0,0,0,141.21199808219862,500,1,0,0,0,Entry
18594.72,HP,Notebook,1.5,AMD Processor,AMD,4,Windows,2.1,0,0,0,141.21199808219862,500,1,0,0,0,Entry
18594.72,Acer,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.68,0,0,0,111.93520355955212,32,0,0,0,1,Entry
18594.72,Acer,Notebook,1.6,Other Intel Processor,Intel,4,Windows,1.6,0,0,0,111.93520355955212,128,0,0,0,1,Entry
18594.72,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,141.21199808219862,128,0,1,0,0,Entry
18594.72,Asus,Notebook,1.8,AMD Processor,AMD,4,Windows,2.0,0,0,0,100.45466986113652,500,1,0,0,0,Entry
18914.4,Acer,Netbook,1.6,Other Intel Processor,Intel,4,Others,1.35,0,1,0,135.0942111925629,32,0,0,0,1,Entry
19127.52,Acer,Notebook,1.5,Other Intel Processor,Intel,4,Others,2.2,0,1,0,141.21199808219862,16,0,0,0,1,Entry
19127.52,Dell,Notebook,2.0,Intel Core i3,Intel,4,Others,2.25,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
19180.2672,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Others,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
19276.704,Acer,Notebook,2.0,Intel Core i3,Intel,4,Others,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
19367.8128,Acer,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
19441.872,HP,Notebook,2.0,Intel Core i3,Intel,4,Others,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
19553.76,Acer,Notebook,2.7,Intel Core i3,Intel,4,Others,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
19607.04,Lenovo,Notebook,2.0,Intel Core i3,AMD,4,Others,1.9,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
19660.32,Dell,Notebook,1.6,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
19660.32,Asus,Notebook,1.6,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
19660.32,Mediacom,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.2,0,1,0,165.6321180513006,32,0,1,0,0,Entry
19660.32,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Others,2.2,0,0,0,100.45466986113652,128,0,1,0,0,Entry
19660.32,HP,Notebook,2.5,AMD Processor,AMD,4,Windows,1.86,0,0,0,100.45466986113652,256,0,1,0,0,Entry
19980.0,Acer,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.45,0,0,0,111.93520355955212,32,0,0,0,1,Entry
19980.0,Asus,2 in 1 Convertible,1.1,Other Intel Processor,Intel,4,Windows,1.5,1,0,0,135.0942111925629,32,0,0,0,1,Entry
20193.12,Dell,Notebook,1.6,Other Intel Processor,Intel,2,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
20193.12,Lenovo,Notebook,2.2,AMD Processor,AMD,4,Windows,2.8,0,0,0,106.11306214269258,500,1,0,0,0,Entry
20193.12,Acer,2 in 1 Convertible,1.6,Other Intel Processor,Intel,4,Others,1.25,1,1,0,135.0942111925629,32,0,0,0,1,Entry
20246.4,Acer,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
20459.52,Acer,Notebook,2.4,Intel Core i3,Intel,4,Windows,2.4,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
20512.8,HP,Netbook,1.6,Other Intel Processor,Intel,4,Others,1.23,0,0,0,135.0942111925629,16,0,0,0,1,Entry
20619.36,Acer,Notebook,2.2,AMD Processor,AMD,4,Windows,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
20725.92,Acer,2 in 1 Convertible,1.6,Other Intel Processor,Intel,4,Others,1.25,1,1,0,135.0942111925629,32,0,0,0,1,Entry
20725.92,Acer,Notebook,2.0,Intel Core i3,Intel,8,Windows,2.1,0,0,0,111.93520355955212,1000,1,0,0,0,Entry
20725.92,HP,Notebook,1.6,Other Intel Processor,Intel,8,Windows,2.04,0,0,0,100.45466986113652,2000,1,0,0,0,Entry
20725.92,Asus,Notebook,2.0,Intel Core i3,Intel,4,Others,2.0,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
20725.92,Mediacom,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.45,0,1,0,157.3505121487356,32,0,1,0,0,Entry
